[2017-07-26 22:04:20,970.057][INFO ] main,68> Software Svn Version: 1453
[2017-07-26 23:00:32,687.647][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:01:11,678.877][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:01:12,100.901][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:01:12,447.921][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:01:12,811.942][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:01:53,869.290][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:02:36,773.744][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:02:38,294.831][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:02:49,829.491][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:03:13,336.835][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:03:13,682.855][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
[2017-07-26 23:03:28,611.709][WARN ] OcdcMarketPoller::QueryMarketInfoImpl,67> failed, err code=1028(CURLE_OPERATION_TIMEDOUT)
[2017-07-26 23:04:36,245.577][WARN ] BtdcMarketPoller::QueryMarketInfoImpl,73> failed, err code=1052(CURLE_GOT_NOTHING)
